Per Capita Crime,Area
Jan-14,0.639196439
Feb-14,0.273941331
Mar-14,1.187079101
Apr-14,0.547882662
May-14,1.004451547
Jun-14,0.730510216
Jul-14,0.821823993
Aug-14,1.004451547
Sep-14,0.91313777
Oct-14,0.821823993
Nov-14,0.273941331
Dec-14,1.004451547
Jan-15,0.639196439
Feb-15,0.730510216
Mar-15,1.095765324
Apr-15,0.456568885
May-15,0.730510216
Jun-15,1.004451547
Jul-15,2.191530647
Aug-15,0.456568885
Sep-15,0.639196439
Oct-15,0.730510216
